game_id,label,baseline,candidate
2026_02_CAR_ATL,0,0.6671954684008565,0.629418245231448
2026_02_CIN_HOU,0,0.4593264799010165,0.6232621221048315
2026_02_CLE_TB,0,0.7606459250731828,0.6327043738305718
2026_02_DET_BUF,1,0.5714775300905559,0.6265004864089917
2026_02_GB_NYJ,0,0.4022139344720796,0.6215831045720822
2026_02_IND_KC,1,0.6296520331879351,0.6282397746127165
2026_02_JAX_DEN,1,0.520434253445317,0.6250217864177771
2026_02_LV_LAC,0,0.5847694842894179,0.626891127208401
2026_02_MIA_SF,1,0.7770391962775637,0.6333610690038356
2026_02_MIN_CHI,0,0.6060898002452982,0.6275252480381396
2026_02_NO_BAL,0,0.6798288495908461,0.6298287501617535
2026_02_NYG_LA,1,0.6054909203391252,0.6275072895920342
2026_02_PHI_TEN,0,0.3250364943012939,0.6191697907922209
2026_02_PIT_NE,1,0.594207036809792,0.6271705628375697
2026_02_SEA_ARI,0,0.4944867927583015,0.6242759063602846
2026_02_WAS_DAL,1,0.4815434888868078,0.6239035519465213
